level,layer,kappa,mean_dist,n,verb
A1,0,5036.964027970495,0.14165648871187153,277,take
A1,1,4052.526489452757,0.1728587156810809,277,take
A1,2,3743.7212113640244,0.18567180019816354,277,take
A1,3,2200.7110194624966,0.2941964913442421,277,take
A1,4,1860.4421701726892,0.33728807168223196,277,take
A1,5,1860.5384962299063,0.33727422516742533,277,take
A1,6,1626.3140365454228,0.3748347615170303,277,take
A1,7,1493.9371771519427,0.3998593991164391,277,take
A1,8,1361.2000852919411,0.42837775254407995,277,take
A1,9,1151.6740622996563,0.48211714948595197,277,take
A1,10,1184.3351974904385,0.47292837744597915,277,take
A1,11,1401.0953861758758,0.41940756128028045,277,take
A1,12,1107.664803917274,0.49503405731700934,277,take
A2,0,3835.956248071688,0.181448983787594,400,take
A2,1,3426.544938923461,0.2007341596177945,400,take
A2,2,3168.2432176814796,0.21514406132518793,400,take
A2,3,1975.6588710937704,0.32102277177318295,400,take
A2,4,1638.8129459457257,0.3722126116071428,400,take
A2,5,1597.9854175472867,0.37951000548245617,400,take
A2,6,1349.1322482992905,0.4306835447994988,400,take
A2,7,1256.8834246101387,0.4531387550908521,400,take
A2,8,1160.3799611863558,0.4791018562030075,400,take
A2,9,1014.8618378238274,0.523875509085213,400,take
A2,10,1050.3568218849166,0.5122661145050125,400,take
A2,11,1248.2109107639958,0.45536360432330825,400,take
A2,12,1001.3531703905459,0.5284195841165413,400,take
B1+,0,4207.9734702164205,0.16686667841478697,400,take
B1+,1,3735.570043883916,0.18582848723370926,400,take
B1+,2,3412.862557204973,0.20144922854010028,400,take
B1+,3,2032.4079958264824,0.3137230772243108,400,take
B1+,4,1685.2414627088974,0.36423725328947365,400,take
B1+,5,1613.5760706383037,0.3766909461152882,400,take
B1+,6,1340.340551708391,0.4327323680294486,400,take
B1+,7,1242.2424924413638,0.45690676887531323,400,take
B1+,8,1141.1040020916635,0.48462244478383454,400,take
B1+,9,1005.5994548216764,0.5269835722117795,400,take
B1+,10,1040.1782723971205,0.5155471687030075,400,take
B1+,11,1244.1780884335333,0.45640517308897244,400,take
B1+,12,1010.3540836287995,0.5253839187813283,400,take
A1,0,3057.1568459007235,0.22211605434232007,327,make
A1,1,2801.753611635873,0.23963544011838422,327,make
A1,2,2704.2168092240845,0.2470692681657004,327,make
A1,3,2101.278416771666,0.30546016080842764,327,make
A1,4,1786.319596755071,0.34816566527832493,327,make
A1,5,1615.6866232071634,0.37652311577174913,327,make
A1,6,1391.426395908801,0.4213150169555918,327,make
A1,7,1251.8067214387,0.45469318704151895,327,make
A1,8,1169.4289604562277,0.4768170977092362,327,make
A1,9,1068.7364185724566,0.5067204561124556,327,make
A1,10,1156.2709317132221,0.4805377127070787,327,make
A1,11,1429.6900691072253,0.41296635206187504,327,make
A1,12,1071.137282914735,0.5059675826907563,327,make
A2,0,2824.7216852696793,0.2378156817825815,400,make
A2,1,2651.266698084008,0.25115856046365914,400,make
A2,2,2580.130035804824,0.25706815867794486,400,make
A2,3,2024.2553466664463,0.3147517720081454,400,make
A2,4,1684.5178298188607,0.3643590421365914,400,make
A2,5,1496.622012844505,0.39887575383771934,400,make
A2,6,1290.9366924623448,0.4445972352756892,400,make
A2,7,1137.7826601845475,0.4855854479949875,400,make
A2,8,1078.4576191470437,0.5034026472431078,400,make
A2,9,981.634369985454,0.5351812147556392,400,make
A2,10,1054.0567129636263,0.5110829808897244,400,make
A2,11,1290.758677280518,0.4446411438753133,400,make
A2,12,1011.8668266206233,0.5248768894893483,400,make
B1+,0,2937.6949838945043,0.22985491071428577,400,make
B1+,1,2793.4377943339673,0.24011738330200505,400,make
