verb,level,layer,kappa,n
take,A1,0,5036.964027970495,277
take,A1,1,4052.526489452757,277
take,A1,2,3743.7212113640244,277
take,A1,3,2200.7110194624966,277
take,A1,4,1860.4421701726892,277
take,A1,5,1860.5384962299063,277
take,A1,6,1626.3140365454228,277
take,A1,7,1493.9371771519427,277
take,A1,8,1361.2000852919411,277
take,A1,9,1151.6740622996563,277
take,A1,10,1184.3351974904385,277
take,A1,11,1401.0953861758758,277
take,A1,12,1107.664803917274,277
take,A2,0,3920.4519448498186,930
take,A2,1,3492.892938321012,930
take,A2,2,3242.3025085768595,930
take,A2,3,1997.2026410390092,930
take,A2,4,1660.1636644582209,930
take,A2,5,1609.8997279293112,930
take,A2,6,1361.54325918107,930
take,A2,7,1268.8600644856747,930
take,A2,8,1169.496220929542,930
take,A2,9,1020.2741445536225,930
take,A2,10,1053.3963244855004,930
take,A2,11,1247.7978769088636,930
take,A2,12,1001.8578435183501,930
take,B1+,0,4010.8422027331694,887
take,B1+,1,3637.174634500683,887
take,B1+,2,3364.2516628134185,887
take,B1+,3,2039.778700301938,887
take,B1+,4,1688.9587471554257,887
take,B1+,5,1620.2572343599177,887
take,B1+,6,1368.0737681464107,887
take,B1+,7,1277.8144326101633,887
take,B1+,8,1174.5589858137341,887
take,B1+,9,1021.7703150267114,887
take,B1+,10,1048.0396552329391,887
take,B1+,11,1247.1667671939574,887
take,B1+,12,1009.6860201382267,887
make,A1,0,3057.1568459007235,327
make,A1,1,2801.753611635873,327
make,A1,2,2704.2168092240845,327
make,A1,3,2101.278416771666,327
make,A1,4,1786.319596755071,327
make,A1,5,1615.6866232071634,327
make,A1,6,1391.426395908801,327
make,A1,7,1251.8067214387,327
make,A1,8,1169.4289604562277,327
make,A1,9,1068.7364185724566,327
make,A1,10,1156.2709317132221,327
make,A1,11,1429.6900691072253,327
make,A1,12,1071.137282914735,327
make,A2,0,2862.649730015238,1128
make,A2,1,2696.021269259953,1128
make,A2,2,2609.6195748386876,1128
make,A2,3,2047.061529791658,1128
make,A2,4,1718.007992453477,1128
make,A2,5,1526.5686966410663,1128
make,A2,6,1312.2232574797883,1128
make,A2,7,1167.41062032918,1128
make,A2,8,1104.0926058477658,1128
make,A2,9,1007.5377920743626,1128
make,A2,10,1076.9627977040614,1128
make,A2,11,1322.1098207092455,1128
make,A2,12,1022.003831219387,1128
make,B1+,0,2915.0496676336024,930
make,B1+,1,2772.8732458467116,930
make,B1+,2,2630.291865695929,930
make,B1+,3,2031.8221518749972,930
make,B1+,4,1710.9571566520133,930
make,B1+,5,1518.7726052639237,930
make,B1+,6,1299.8376712747809,930
make,B1+,7,1167.9144546046607,930
make,B1+,8,1100.4733583333652,930
make,B1+,9,1001.807140542681,930
make,B1+,10,1058.7657293610548,930
make,B1+,11,1305.1985850927679,930
make,B1+,12,1027.4108747971661,930
like,A1,0,9197.08580199256,1183
like,A1,1,6228.275431166103,1183
like,A1,2,4880.394543233057,1183
like,A1,3,3531.1073564772555,1183
like,A1,4,3109.3431100117887,1183
like,A1,5,3132.951348691291,1183
like,A1,6,2694.470081777435,1183
like,A1,7,2738.237186978799,1183
like,A1,8,2385.3308859373437,1183
like,A1,9,1968.0514259703898,1183
like,A1,10,1909.029307791668,1183
like,A1,11,2332.692973290835,1183
like,A1,12,2019.4927208418057,1183
like,A2,0,10271.796285500855,1982
like,A2,1,6515.532306137337,1982
like,A2,2,4963.301945367803,1982
like,A2,3,3502.0126215525856,1982
like,A2,4,3085.6659255530108,1982
like,A2,5,3123.232006798266,1982
like,A2,6,2720.4254662476515,1982
like,A2,7,2823.230125976038,1982
like,A2,8,2431.5471194938627,1982
like,A2,9,2007.7434512912623,1982
like,A2,10,1907.0778849455323,1982
like,A2,11,2334.210220608086,1982
like,A2,12,2057.7042225148925,1982
like,B1+,0,4901.213508842986,991
like,B1+,1,4255.687775009629,991
like,B1+,2,3635.4029855944354,991
like,B1+,3,2848.447289820903,991
like,B1+,4,2610.5197616101336,991
like,B1+,5,2718.0437402655803,991
like,B1+,6,2417.3899348041296,991
like,B1+,7,2443.594975266461,991
like,B1+,8,2143.4547488616936,991
like,B1+,9,1805.0203310595105,991
like,B1+,10,1737.8737778565821,991
like,B1+,11,2137.349990446686,991
like,B1+,12,1858.466390502124,991
