layer,accuracy,macro_f1,verb,chance
0,0.32666666666666666,0.31158514687926453,like,0.3333333333333333
1,0.3883333333333333,0.38683660130718955,like,0.3333333333333333
2,0.4033333333333333,0.4024643963669548,like,0.3333333333333333
3,0.395,0.39368096109415945,like,0.3333333333333333
4,0.3983333333333333,0.3975644568232555,like,0.3333333333333333
5,0.37333333333333335,0.3730010490502597,like,0.3333333333333333
6,0.35333333333333333,0.35219295267166145,like,0.3333333333333333
7,0.37166666666666665,0.36850760026326546,like,0.3333333333333333
8,0.365,0.3641026082494994,like,0.3333333333333333
9,0.34833333333333333,0.34658640993872386,like,0.3333333333333333
10,0.38333333333333336,0.3825786541220432,like,0.3333333333333333
11,0.405,0.4053804108654196,like,0.3333333333333333
12,0.38666666666666666,0.38708086839017236,like,0.3333333333333333
0,0.375,0.3712069591441281,make,0.3333333333333333
1,0.37,0.37138889645191736,make,0.3333333333333333
2,0.3883333333333333,0.3881145989901988,make,0.3333333333333333
3,0.3566666666666667,0.35456176243220955,make,0.3333333333333333
4,0.38666666666666666,0.3866422720418385,make,0.3333333333333333
5,0.4216666666666667,0.4235340425809057,make,0.3333333333333333
6,0.39166666666666666,0.3920041765164475,make,0.3333333333333333
7,0.44333333333333336,0.443565388149771,make,0.3333333333333333
8,0.4066666666666667,0.4076666065211311,make,0.3333333333333333
9,0.42333333333333334,0.4236443086425838,make,0.3333333333333333
10,0.415,0.415320978557759,make,0.3333333333333333
11,0.4483333333333333,0.44885527115553453,make,0.3333333333333333
12,0.41833333333333333,0.4194858166827917,make,0.3333333333333333
0,0.3983333333333333,0.3841566259566636,take,0.3333333333333333
1,0.43833333333333335,0.4361568440308598,take,0.3333333333333333
2,0.4633333333333333,0.46333854678953584,take,0.3333333333333333
3,0.475,0.4738688509871378,take,0.3333333333333333
4,0.4583333333333333,0.4557696185397413,take,0.3333333333333333
5,0.475,0.47215405139239075,take,0.3333333333333333
6,0.49,0.4882479989318953,take,0.3333333333333333
7,0.4633333333333333,0.4610514516919943,take,0.3333333333333333
8,0.4583333333333333,0.4570118951547628,take,0.3333333333333333
9,0.4683333333333333,0.4672336662113345,take,0.3333333333333333
10,0.48333333333333334,0.4833610400861863,take,0.3333333333333333
11,0.465,0.4654637543526432,take,0.3333333333333333
12,0.45666666666666667,0.45675466341220056,take,0.3333333333333333
