layer,accuracy,macro_f1
0,0.37166666666666665,0.3574401550246768
1,0.4088888888888889,0.4078588918501905
2,0.4211111111111111,0.4195999413866887
3,0.3933333333333333,0.3923728813559322
4,0.37777777777777777,0.3778427053445803
5,0.39166666666666666,0.3921717789693844
6,0.3894444444444444,0.3889685504694702
7,0.37666666666666665,0.37616129685637695
8,0.3933333333333333,0.3929677288443781
9,0.3761111111111111,0.37557350186933885
10,0.4033333333333333,0.40245182291178794
11,0.39444444444444443,0.39437843725265087
12,0.4027777777777778,0.40239586812889927
